25 20
#############
#...........#    ########
#...s...s...######......#
#.......................#
#...........######...w..#
#.....s.....#    #......#
#...........#    #...e..#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#         ###..###
  ###..####      #......#
  #..@....#      #..S...#
  #.......#      #..m.G.#
  #.......#      #......#
  #.......#      #.t..b.#
  #.......#      #......#
  #.......#      #...!..#
  #########      ########
